Date,Open,High,Low,Close,Adj Close,Volume
2024-05-24,2.919703,2.921920,2.867829,2.905615,2.905615,20907751
2024-05-25,2.905616,2.913681,2.897909,2.909330,2.909330,13773959
2024-05-26,2.909333,2.910103,2.885540,2.893190,2.893190,33080300
2024-05-27,2.893309,2.931739,2.887526,2.921757,2.921757,38458019
2024-05-28,2.921725,2.936929,2.902092,2.936751,2.936751,43710124
2024-05-29,2.936751,2.947126,2.914903,2.918083,2.918083,27676806
2024-05-30,2.915786,2.940894,2.905026,2.916909,2.916909,32434450
2024-05-31,2.917651,2.933992,2.914222,2.923104,2.923104,27568977
2024-06-01,2.922775,2.944654,2.922523,2.938781,2.938781,18676990
2024-06-02,2.938696,2.942005,2.924588,2.933342,2.933342,17932958
2024-06-03,2.933480,2.953090,2.923668,2.930686,2.930686,37749519
2024-06-04,2.930688,2.937908,2.914169,2.920555,2.920555,48290032
2024-06-05,2.920601,2.939407,2.920601,2.934905,2.934905,37489179
2024-06-06,2.934904,2.940465,2.924918,2.934405,2.934405,51899393
2024-06-07,2.934389,2.939242,2.892732,2.916428,2.916428,61281767
2024-06-08,2.916327,2.916610,2.893320,2.896949,2.896949,21799461
2024-06-09,2.896404,2.918341,2.890675,2.917223,2.917223,16500620
2024-06-10,2.917239,2.922225,2.897577,2.912965,2.912965,19467084
2024-06-11,2.913028,2.914918,2.851293,2.868578,2.868578,33788100
2024-06-12,2.868845,2.938595,2.849856,2.915980,2.915980,49462634
2024-06-13,2.916141,2.916141,2.848667,2.862184,2.862184,33017745
2024-06-14,2.862503,2.883731,2.815604,2.848467,2.848467,35222925
2024-06-15,2.847830,2.871303,2.845402,2.870658,2.870658,22708436
2024-06-16,2.870803,2.897179,2.867694,2.895497,2.895497,25533362
2024-06-17,2.895189,2.900133,2.848035,2.871083,2.871083,35918571
2024-06-18,2.870688,2.872477,2.773683,2.846938,2.846938,52236572
2024-06-19,2.846938,2.875912,2.833468,2.845450,2.845450,47190786
2024-06-20,2.845450,2.866460,2.804029,2.822365,2.822365,51619920
2024-06-21,2.821926,2.850038,2.797005,2.839640,2.839640,47784669
2024-06-22,2.839521,2.845843,2.828384,2.844563,2.844563,37192935
2024-06-23,2.844546,2.849683,2.814808,2.833298,2.833298,36727427
2024-06-24,2.833292,2.835071,2.749002,2.804073,2.804073,54413002
2024-06-25,2.803810,2.861631,2.802363,2.844907,2.844907,37828542
2024-06-26,2.844397,2.860909,2.832089,2.844807,2.844807,26570682
2024-06-27,2.844951,2.942992,2.837524,2.928955,2.928955,38008116
2024-06-28,2.930179,2.932036,2.841743,2.862926,2.862926,33514787
2024-06-29,2.863329,2.880456,2.850939,2.850939,2.850939,22071398
2024-06-30,2.851398,2.916855,2.844948,2.916855,2.916855,27416526
2024-07-01,2.916770,2.939900,2.914148,2.919374,2.919374,38100166
2024-07-02,2.919476,2.961203,2.918577,2.958800,2.958800,50961101
2024-07-03,2.959834,2.969391,2.860244,2.874836,2.874836,45079007
2024-07-04,2.874919,2.883840,2.788791,2.788791,2.788791,26310602
2024-07-05,2.789218,2.840893,2.744359,2.831006,2.831006,30232482
2024-07-06,2.830932,2.896891,2.821747,2.894709,2.894709,17050944
2024-07-07,2.894698,2.894786,2.813259,2.814857,2.814857,19169683
2024-07-08,2.812417,2.884821,2.772042,2.868853,2.868853,54190879
2024-07-09,2.869210,2.902058,2.860688,2.892375,2.892375,27758606
2024-07-10,2.892278,2.923261,2.878418,2.897688,2.897688,27458934
2024-07-11,2.897690,2.928405,2.869447,2.871314,2.871314,37290143
2024-07-12,2.870806,2.902019,2.855478,2.892114,2.892114,35990253
2024-07-13,2.892148,2.921123,2.890323,2.915675,2.915675,31497708
2024-07-14,null,null,null,null,null,null
2024-07-15,2.959877,2.992059,2.956248,2.992059,2.992059,40562776
